省,年份,家谱数量
内蒙古自治区,2006,1
内蒙古自治区,2008,1
内蒙古自治区,2011,2
内蒙古自治区,2014,4
内蒙古自治区,2015,1
内蒙古自治区,2016,4
内蒙古自治区,2017,7
内蒙古自治区,2018,3
内蒙古自治区,2019,4
内蒙古自治区,2020,3
内蒙古自治区,2021,1
内蒙古自治区,2022,3
北京市,1784,1
北京市,1795,2
北京市,1797,1
北京市,1821,1
北京市,1863,1
北京市,1885,1
北京市,1892,1
北京市,1909,1
北京市,1911,1
北京市,1919,1
北京市,1941,1
北京市,1948,1
北京市,1963,1
北京市,2002,1
北京市,2003,1
北京市,2006,1
北京市,2007,1
北京市,2013,1
北京市,2016,1
北京市,2017,3
北京市,2018,1
北京市,2019,1
台湾,1950,1
台湾,1952,1
台湾,1958,3
台湾,1961,1
台湾,1965,1
台湾,1968,1
台湾,1972,1
台湾,1973,1
台湾,1975,3
台湾,1976,1
台湾,1978,2
台湾,1979,3
台湾,1980,5
台湾,1981,8
台湾,1982,7
台湾,1983,3
台湾,1984,1
台湾,1985,104
台湾,1986,13
台湾,1987,7
台湾,1989,3
台湾,1990,2
台湾,1991,6
台湾,1992,6
台湾,1993,6
台湾,1994,3
台湾,1995,7
台湾,1996,5
台湾,1997,5
台湾,1998,4
台湾,1999,8
台湾,2000,4
台湾,2001,8
台湾,2002,7
台湾,2003,5
台湾,2004,8
台湾,2005,3
台湾,2006,4
台湾,2007,3
台湾,2008,7
台湾,2009,6
台湾,2010,4
台湾,2011,3
台湾,2012,6
台湾,2013,1
台湾,2014,7
台湾,2015,2
台湾,2016,3
台湾,2017,2
台湾,2018,1
吉林,1801,1
吉林,1849,1
吉林,1862,1
吉林,1894,1
吉林,1910,1
吉林,1924,1
吉林,1928,1
吉林,1929,1
吉林,1940,1
吉林,1983,1
吉林,1989,2
吉林,1993,1
吉林,1995,1
吉林,1996,2
吉林,1997,2
吉林,1998,1
吉林,2001,1
吉林,2002,1
吉林,2007,1
吉林,2008,1
吉林,2009,1
吉林,2010,1
吉林,2012,2
吉林,2013,3
吉林,2014,1
吉林,2015,3
吉林,2016,1
吉林,2019,2
吉林,2020,2
四川,1759,1
四川,1766,1
四川,1782,1
四川,1796,1
四川,1802,1
四川,1804,1
四川,1806,1
四川,1809,1
四川,1811,2
四川,1813,1
四川,1814,1
四川,1815,1
四川,1818,1
四川,1819,1
四川,1821,2
四川,1822,1
四川,1828,1
四川,1832,2
四川,1834,1
四川,1838,3
四川,1842,1
四川,1845,1
四川,1846,3
四川,1849,1
四川,1850,1
四川,1851,2
四川,1853,1
四川,1855,2
四川,1856,3
四川,1857,3
四川,1858,1
四川,1859,1
四川,1860,5
四川,1861,1
四川,1862,1
四川,1863,3
四川,1864,3
四川,1865,3
四川,1866,4
四川,1868,1
四川,1869,3
四川,1870,1
四川,1871,3
四川,1872,3
四川,1873,2
四川,1874,1
四川,1875,4
四川,1876,3
四川,1877,2
四川,1878,2
四川,1879,3
四川,1881,1
四川,1882,2
四川,1883,3
四川,1884,2
四川,1885,1
四川,1888,2
四川,1889,1
四川,1890,3
四川,1891,2
四川,1892,2
四川,1894,4
四川,1895,3
四川,1896,2
四川,1898,6
四川,1899,3
四川,1900,5
四川,1902,2
四川,1904,3
四川,1905,2
四川,1906,3
四川,1907,6
四川,1909,6
四川,1910,3
四川,1911,4
四川,1912,7
四川,1913,4
四川,1914,8
四川,1915,4
四川,1916,7
四川,1917,2
四川,1918,5
四川,1919,2
四川,1920,2
四川,1921,6
四川,1922,9
四川,1923,4
四川,1924,3
四川,1925,4
四川,1926,4
四川,1927,7
四川,1928,7
四川,1929,8
四川,1930,6
四川,1931,7
四川,1932,6
四川,1933,5
四川,1934,6
四川,1935,3
四川,1936,8
四川,1937,4
四川,1938,5
四川,1939,8
四川,1940,2
四川,1941,2
四川,1942,5
四川,1943,7
四川,1944,2
四川,1945,3
四川,1946,3
四川,1947,10
四川,1948,4
四川,1949,5
四川,1950,2
四川,1957,2
四川,1964,3
四川,1975,1
四川,1984,1
四川,1985,4
四川,1986,3
四川,1987,6
四川,1989,5
四川,1990,6
四川,1991,2
四川,1992,9
四川,1993,6
四川,1994,5
四川,1995,11
四川,1996,17
四川,1997,18
四川,1998,33
四川,1999,44
四川,2000,69
四川,2001,33
四川,2002,26
四川,2003,34
四川,2004,37
四川,2005,47
四川,2006,32
四川,2007,27
四川,2008,40
四川,2009,36
四川,2010,49
四川,2011,42
四川,2012,49
四川,2013,58
四川,2014,43
四川,2015,69
四川,2016,85
四川,2017,52
四川,2018,40
四川,2019,49
四川,2020,40
四川,2021,15
四川,2022,7
四川,2023,9
四川,2024,1
天津市,1782,1
天津市,1870,1
天津市,1886,1
天津市,1903,1
天津市,1927,1
天津市,1930,1
天津市,1936,1
天津市,1938,1
天津市,1941,1
天津市,1942,1
天津市,1983,1
天津市,1988,1
天津市,1995,2
天津市,1999,1
天津市,2000,1
天津市,2004,1
天津市,2008,2
天津市,2009,1
天津市,2010,1
天津市,2011,1
天津市,2012,3
天津市,2013,2
天津市,2014,3
天津市,2015,3
天津市,2016,3
天津市,2017,5
天津市,2018,4
天津市,2019,2
天津市,2020,2
宁夏回族自治区,2001,2
宁夏回族自治区,2006,1
宁夏回族自治区,2007,1
宁夏回族自治区,2008,1
