省,市,县,年份,家谱数量
上海,市,南汇区,1735,1
上海,市,南汇区,1838,1
上海,市,南汇区,1878,1
上海,市,南汇区,1890,1
上海,市,南汇区,1911,1
上海,市,南汇区,1913,3
上海,市,南汇区,1919,1
上海,市,南汇区,1921,2
上海,市,南汇区,1922,1
上海,市,南汇区,1924,2
上海,市,南汇区,1925,4
上海,市,南汇区,1929,1
上海,市,南汇区,1931,2
上海,市,南汇区,1933,1
上海,市,南汇区,1937,1
上海,市,南汇区,1939,1
上海,市,南汇区,1948,1
上海,市,嘉定区,1720,1
上海,市,嘉定区,1776,1
上海,市,嘉定区,1790,1
上海,市,嘉定区,1831,1
上海,市,嘉定区,1854,1
上海,市,嘉定区,1864,1
上海,市,嘉定区,1869,1
上海,市,嘉定区,1870,1
上海,市,嘉定区,1886,1
上海,市,嘉定区,1899,1
上海,市,嘉定区,1901,1
上海,市,嘉定区,1902,1
上海,市,嘉定区,1915,2
上海,市,嘉定区,1920,1
上海,市,嘉定区,1925,2
上海,市,嘉定区,1926,1
上海,市,嘉定区,1930,1
上海,市,嘉定区,1933,1
上海,市,嘉定区,1934,1
上海,市,嘉定区,1940,1
上海,市,嘉定区,1942,1
上海,市,嘉定区,1948,1
上海,市,嘉定区,1950,1
上海,市,嘉定区,1995,1
上海,市,嘉定区,2004,1
上海,市,奉贤区,1801,1
上海,市,奉贤区,1877,1
上海,市,奉贤区,1892,1
上海,市,奉贤区,1900,1
上海,市,奉贤区,1917,1
上海,市,奉贤区,2000,1
上海,市,奉贤区,2003,1
上海,市,宝山区,1896,1
上海,市,宝山区,1898,2
上海,市,宝山区,1908,1
上海,市,宝山区,1918,2
上海,市,宝山区,1929,1
上海,市,宝山区,1930,1
上海,市,宝山区,1934,1
上海,市,宝山区,1936,1
上海,市,宝山区,1944,1
上海,市,宝山区,1949,1
上海,市,崇明县,1760,1
上海,市,崇明县,1766,1
上海,市,崇明县,1769,1
上海,市,崇明县,1775,1
上海,市,崇明县,1797,3
上海,市,崇明县,1798,1
上海,市,崇明县,1799,2
上海,市,崇明县,1806,2
上海,市,崇明县,1809,5
上海,市,崇明县,1816,1
上海,市,崇明县,1825,1
上海,市,崇明县,1826,1
上海,市,崇明县,1828,1
上海,市,崇明县,1833,1
上海,市,崇明县,1836,1
上海,市,崇明县,1837,1
上海,市,崇明县,1841,1
上海,市,崇明县,1844,3
上海,市,崇明县,1847,1
上海,市,崇明县,1848,2
上海,市,崇明县,1854,1
上海,市,崇明县,1864,2
上海,市,崇明县,1865,1
上海,市,崇明县,1866,1
上海,市,崇明县,1867,2
上海,市,崇明县,1868,1
上海,市,崇明县,1870,2
上海,市,崇明县,1871,1
上海,市,崇明县,1875,1
上海,市,崇明县,1877,1
上海,市,崇明县,1878,2
上海,市,崇明县,1880,1
上海,市,崇明县,1881,3
上海,市,崇明县,1884,2
上海,市,崇明县,1886,1
上海,市,崇明县,1887,1
上海,市,崇明县,1888,1
上海,市,崇明县,1889,1
上海,市,崇明县,1891,2
上海,市,崇明县,1893,2
上海,市,崇明县,1895,1
上海,市,崇明县,1897,1
上海,市,崇明县,1898,3
上海,市,崇明县,1899,2
上海,市,崇明县,1900,1
上海,市,崇明县,1903,1
上海,市,崇明县,1907,1
上海,市,崇明县,1909,4
上海,市,崇明县,1911,1
上海,市,崇明县,1912,1
上海,市,崇明县,1913,1
上海,市,崇明县,1914,2
上海,市,崇明县,1915,1
上海,市,崇明县,1917,1
上海,市,崇明县,1918,1
上海,市,崇明县,1921,1
上海,市,崇明县,1924,1
上海,市,崇明县,1927,1
上海,市,崇明县,1929,1
上海,市,崇明县,1930,3
上海,市,崇明县,1933,1
上海,市,崇明县,1935,1
上海,市,崇明县,1941,1
上海,市,崇明县,1944,1
上海,市,松江区,1707,1
上海,市,松江区,1719,1
上海,市,松江区,1765,1
上海,市,松江区,1783,1
上海,市,松江区,1784,1
上海,市,松江区,1791,2
上海,市,松江区,1801,1
上海,市,松江区,1809,1
上海,市,松江区,1811,1
上海,市,松江区,1812,1
上海,市,松江区,1819,1
上海,市,松江区,1825,1
上海,市,松江区,1827,1
上海,市,松江区,1829,1
上海,市,松江区,1832,1
上海,市,松江区,1839,1
上海,市,松江区,1841,1
上海,市,松江区,1847,1
上海,市,松江区,1848,1
上海,市,松江区,1857,1
上海,市,松江区,1862,1
上海,市,松江区,1866,1
上海,市,松江区,1871,1
上海,市,松江区,1873,1
上海,市,松江区,1874,2
上海,市,松江区,1881,1
上海,市,松江区,1883,1
上海,市,松江区,1887,1
上海,市,松江区,1888,1
上海,市,松江区,1893,1
上海,市,松江区,1894,1
上海,市,松江区,1896,1
上海,市,松江区,1917,2
上海,市,松江区,1920,1
上海,市,松江区,1924,1
上海,市,松江区,1926,1
上海,市,松江区,1929,1
上海,市,松江区,1935,1
上海,市,松江区,1936,1
上海,市,松江区,1939,1
上海,市,松江区,1942,1
上海,市,松江区,1998,1
上海,上海市,浦东新区,1690,1
上海,市,浦东新区,1761,1
上海,市,浦东新区,1879,1
上海,市,浦东新区,1930,2
上海,市,浦东新区,1942,1
上海,市,浦东新区,2002,1
上海,市,浦东新区,2003,1
上海,市,浦东新区,2004,1
上海,市,浦东新区,2011,1
上海,市,金山区,1799,1
上海,市,金山区,1823,1
上海,市,金山区,1879,1
上海,市,金山区,1890,1
上海,市,金山区,1910,1
上海,市,金山区,1912,1
上海,市,金山区,1916,1
上海,市,金山区,1925,1
上海,市,金山区,1934,1
上海,市,金山区,1940,1
上海,市,金山区,1948,1
上海,市,金山区,2004,1
上海,市,闵行区,1858,1
上海,市,闵行区,1924,1
上海,市,闵行区,1983,1
上海,市,青浦区,1841,1
上海,市,青浦区,1887,1
上海,市,青浦区,1890,2
上海,市,青浦区,1893,1
上海,市,青浦区,1906,1
上海,市,青浦区,1912,1
上海,市,青浦区,1914,1
上海,市,青浦区,1916,1
上海,市,青浦区,1923,1
上海,市,青浦区,1926,1
上海,市,青浦区,1931,2
上海,市,青浦区,1935,1
上海,市,青浦区,1936,1
上海,市,青浦区,1939,1
上海,市,青浦区,1943,2
上海,市,青浦区,1999,1
上海市,上海市,南汇区,2016,1
上海市,上海市,南汇区,2019,1
上海市,上海市,嘉定区,1963,1
上海市,上海市,嘉定区,1988,1
上海市,上海市,嘉定区,2000,1
上海市,上海市,嘉定区,2001,1
上海市,上海市,嘉定区,2006,1
上海市,上海市,嘉定区,2008,1
上海市,上海市,嘉定区,2010,1
上海市,上海市,嘉定区,2020,1
上海市,上海市,奉贤区,1998,1
上海市,上海市,奉贤区,2006,1
上海市,上海市,奉贤区,2008,1
上海市,上海市,奉贤区,2012,1
上海市,上海市,奉贤区,2014,1
上海市,上海市,奉贤区,2018,1
上海市,上海市,宝山区,2012,1
上海市,上海市,崇明区,1847,1
上海市,上海市,崇明区,2007,1
上海市,上海市,崇明区,2009,1
上海市,上海市,崇明区,2010,1
上海市,上海市,崇明区,2011,1
上海市,上海市,崇明区,2012,2
上海市,上海市,崇明区,2014,1
上海市,上海市,崇明区,2015,3
上海市,上海市,崇明区,2016,1
上海市,上海市,崇明区,2017,1
上海市,上海市,崇明区,2021,1
上海市,上海市,崇明区,2023,1
上海市,上海市,杨浦区,2011,1
上海市,上海市,松江区,2008,1
上海市,上海市,松江区,2011,1
上海市,上海市,松江区,2013,1
上海市,上海市,松江区,2023,1
上海市,上海市,浦东新区,1969,1
上海市,上海市,浦东新区,1988,1
上海市,上海市,浦东新区,1989,1
上海市,上海市,浦东新区,1997,2
上海市,上海市,浦东新区,2002,1
上海市,上海市,浦东新区,2003,1
上海市,上海市,浦东新区,2004,1
上海市,上海市,浦东新区,2005,2
上海市,上海市,浦东新区,2006,1
上海市,上海市,浦东新区,2007,2
上海市,上海市,浦东新区,2010,1
上海市,上海市,浦东新区,2011,1
上海市,上海市,浦东新区,2012,2
上海市,上海市,浦东新区,2013,1
上海市,上海市,浦东新区,2015,2
上海市,上海市,浦东新区,2016,1
上海市,上海市,浦东新区,2017,1
上海市,上海市,浦东新区,2021,1
上海市,上海市,浦东新区,2022,1
上海市,上海市,浦东新区,2023,1
上海市,上海市,金山区,2007,1
上海市,上海市,金山区,2012,1
上海市,上海市,金山区,2023,1
上海市,上海市,闵行区,1999,1
上海市,上海市,闵行区,2010,2
上海市,上海市,闵行区,2011,1
上海市,上海市,闵行区,2018,1
上海市,上海市,青浦区,1992,1
上海市,上海市,青浦区,2013,1
上海市,上海市,青浦区,2014,1
上海市,上海市,黄浦区,2006,1
云南,临沧市,云县,2018,1
云南,临沧市,凤庆县,2008,1
云南,临沧市,凤庆县,2022,2
云南,临沧市,双江拉祜族佤族布朗族傣族自治县,2007,1
云南,临沧市,永德县,2000,1
云南,临沧市,永德县,2020,1
云南,临沧市,镇康县,2015,1
云南,临沧市,镇康县,2017,1
云南,丽江市,华坪县,2011,1
云南,丽江市,华坪县,2013,1
云南,丽江市,宁蒗彝族自治县,2014,1
云南,丽江市,永胜县,2007,2
云南,保山市,施甸县,1986,1
云南,保山市,昌宁县,1920,1
云南,保山市,昌宁县,1937,1
云南,保山市,昌宁县,1990,1
云南,保山市,昌宁县,1995,1
云南,保山市,昌宁县,1996,1
云南,保山市,昌宁县,1998,1
云南,保山市,昌宁县,2009,1
云南,保山市,昌宁县,2023,1
云南,保山市,腾冲县,1906,1
云南,保山市,腾冲县,1913,1
云南,保山市,腾冲县,1917,1
云南,保山市,腾冲县,1924,1
云南,保山市,腾冲县,1929,1
云南,保山市,腾冲县,1930,2
云南,保山市,腾冲县,1947,1
云南,保山市,腾冲县,1989,1
云南,保山市,腾冲县,1995,1
云南,保山市,腾冲市,1846,2
云南,保山市,腾冲市,1915,1
云南,保山市,腾冲市,1924,1
云南,保山市,腾冲市,1928,2
云南,保山市,腾冲市,1930,1
云南,保山市,腾冲市,1936,2
云南,保山市,腾冲市,1938,1
云南,保山市,腾冲市,1939,1
云南,保山市,腾冲市,1949,1
云南,保山市,腾冲市,1990,2
云南,保山市,腾冲市,1993,3
云南,保山市,腾冲市,1995,3
云南,保山市,腾冲市,1996,1
云南,保山市,腾冲市,1997,1
云南,保山市,腾冲市,1998,1
云南,保山市,腾冲市,1999,1
云南,保山市,腾冲市,2001,2
云南,保山市,腾冲市,2002,1
云南,保山市,腾冲市,2003,1
云南,保山市,腾冲市,2004,4
云南,保山市,腾冲市,2005,3
云南,保山市,腾冲市,2006,2
云南,保山市,腾冲市,2007,1
云南,保山市,腾冲市,2008,3
云南,保山市,腾冲市,2009,3
云南,保山市,腾冲市,2010,2
云南,保山市,腾冲市,2011,2
云南,保山市,腾冲市,2012,1
云南,保山市,腾冲市,2013,1
云南,保山市,腾冲市,2014,3
云南,保山市,腾冲市,2015,1
云南,保山市,腾冲市,2016,1
云南,保山市,腾冲市,2017,3
云南,保山市,腾冲市,2018,6
云南,保山市,腾冲市,2019,1
云南,保山市,腾冲市,2020,1
云南,保山市,腾冲市,2021,1
云南,保山市,腾冲市,2022,1
云南,保山市,隆阳区,2019,1
云南,保山市,龙陵县,1977,1
云南,保山市,龙陵县,1994,3
云南,保山市,龙陵县,1997,3
云南,保山市,龙陵县,1998,2
云南,保山市,龙陵县,1999,1
云南,保山市,龙陵县,2000,1
云南,保山市,龙陵县,2012,2
云南,保山市,龙陵县,2013,1
云南,保山市,龙陵县,2016,2
云南,保山市,龙陵县,2017,1
云南,保山市,龙陵县,2019,1
云南,保山市,龙陵县,2021,1
云南,大理白族自治州,南涧彝族自治县,1995,1
云南,大理白族自治州,南涧彝族自治县,2011,1
云南,大理白族自治州,大理市,1999,1
云南,大理白族自治州,大理市,2013,1
云南,大理白族自治州,宾川县,2014,1
云南,大理白族自治州,宾川县,2017,2
云南,大理白族自治州,弥渡县,2001,1
云南,大理白族自治州,弥渡县,2003,1
云南,大理白族自治州,弥渡县,2016,1
云南,大理白族自治州,弥渡县,2017,1
云南,大理白族自治州,洱源县,1986,1
云南,大理白族自治州,洱源县,1996,1
云南,大理白族自治州,洱源县,2009,1
云南,大理白族自治州,洱源县,2010,1
云南,大理白族自治州,漾濞彝族自治县,2015,1
云南,大理白族自治州,祥云县,2017,1
云南,大理白族自治州,鹤庆县,1999,1
云南,大理白族自治州,鹤庆县,2000,1
云南,大理白族自治州,鹤庆县,2005,1
云南,大理白族自治州,鹤庆县,2009,1
云南,大理白族自治州,鹤庆县,2011,1
云南,大理白族自治州,鹤庆县,2012,1
云南,大理白族自治州,鹤庆县,2016,1
云南,德宏傣族景颇族自治州,盈江县,2013,1
云南,德宏傣族景颇族自治州,盈江县,2020,1
云南,德宏傣族景颇族自治州,芒市,2013,1
云南,德宏傣族景颇族自治州,芒市,2016,1
云南,德宏傣族景颇族自治州,芒市,2022,1
云南,文山壮族苗族自治州,富宁县,2003,1
云南,文山壮族苗族自治州,富宁县,2013,1
云南,文山壮族苗族自治州,富宁县,2018,1
云南,文山壮族苗族自治州,广南县,2014,1
云南,文山壮族苗族自治州,广南县,2015,1
云南,文山壮族苗族自治州,广南县,2017,1
云南,文山壮族苗族自治州,广南县,2018,1
云南,文山壮族苗族自治州,砚山县,2010,1
云南,文山壮族苗族自治州,西畴县,1949,1
云南,文山壮族苗族自治州,西畴县,2017,1
云南,文山壮族苗族自治州,麻栗坡县,2017,1
云南,昆明市,东川区,1998,1
云南,昆明市,东川区,2016,1
云南,昆明市,东川区,2021,1
云南,昆明市,呈贡区,2011,1
云南,昆明市,呈贡区,2016,1
云南,昆明市,安宁市,2016,1
云南,昆明市,官渡区,2003,1
云南,昆明市,宜良县,2013,1
云南,昆明市,宜良县,2014,1
云南,昆明市,宜良县,2018,1
云南,昆明市,宜良县,2021,1
云南,昆明市,富民县,2015,1
云南,昆明市,富民县,2020,2
云南,昆明市,寻甸回族彝族自治县,2015,1
云南,昆明市,嵩明县,2010,2
云南,昆明市,嵩明县,2018,2
云南,昆明市,晋宁区,1985,1
云南,昆明市,晋宁区,2005,1
云南,昆明市,晋宁区,2015,1
云南,昆明市,晋宁区,2016,1
云南,昆明市,晋宁区,2017,1
云南,昆明市,晋宁县,1914,1
云南,昆明市,晋宁县,1934,1
云南,昆明市,晋宁县,1937,1
云南,昆明市,晋宁县,1938,1
云南,昆明市,晋宁县,1943,1
云南,昆明市,晋宁县,2001,1
云南,昆明市,石林彝族自治县,2002,1
云南,昆明市,石林彝族自治县,2016,1
云南,昆明市,石林彝族自治县,2019,1
云南,昆明市,禄劝彝族苗族自治县,2003,1
云南,昆明市,禄劝彝族苗族自治县,2004,1
云南,昆明市,禄劝彝族苗族自治县,2007,1
云南,昆明市,禄劝彝族苗族自治县,2010,1
云南,昆明市,禄劝彝族苗族自治县,2013,1
云南,昆明市,禄劝彝族苗族自治县,2017,1
云南,昆明市,禄劝彝族苗族自治县,2018,1
云南,昆明市,禄劝彝族苗族自治县,2019,1
云南,昭通市,大关县,1999,1
云南,昭通市,大关县,2008,1
云南,昭通市,威信县,2010,1
云南,昭通市,威信县,2015,1
云南,昭通市,威信县,2019,1
云南,昭通市,威信县,2020,2
云南,昭通市,彝良县,2008,1
云南,昭通市,彝良县,2017,2
云南,昭通市,昭阳区,2008,1
云南,昭通市,昭阳区,2011,1
云南,昭通市,永善县,1999,1
云南,昭通市,永善县,2016,3
云南,昭通市,永善县,2017,1
云南,昭通市,永善县,2020,1
云南,昭通市,永善县,2021,1
云南,昭通市,盐津县,2012,1
云南,昭通市,盐津县,2016,2
云南,昭通市,盐津县,2017,2
云南,昭通市,盐津县,2018,1
云南,昭通市,盐津县,2019,2
云南,昭通市,绥江县,1941,1
云南,昭通市,绥江县,2008,2
云南,昭通市,镇雄县,1906,1
云南,昭通市,镇雄县,1925,1
云南,昭通市,镇雄县,1932,1
云南,昭通市,镇雄县,1958,2
云南,昭通市,镇雄县,1990,2
云南,昭通市,镇雄县,1997,2
云南,昭通市,镇雄县,2001,2
云南,昭通市,镇雄县,2004,1
云南,昭通市,镇雄县,2008,2
云南,昭通市,镇雄县,2009,1
云南,昭通市,镇雄县,2013,1
云南,昭通市,镇雄县,2015,1
云南,昭通市,镇雄县,2017,1
云南,昭通市,镇雄县,2018,1
云南,昭通市,镇雄县,2019,6
云南,昭通市,镇雄县,2020,1
云南,昭通市,鲁甸县,2011,1
云南,昭通市,鲁甸县,2013,1
云南,昭通市,鲁甸县,2019,1
云南,普洱市,墨江哈尼族自治县,2011,1
云南,普洱市,宁洱哈尼族彝族自治县,2015,1
云南,普洱市,景东彝族自治县,2004,1
云南,普洱市,景东彝族自治县,2009,1
云南,普洱市,景东彝族自治县,2011,1
云南,普洱市,景东彝族自治县,2012,1
云南,普洱市,景东彝族自治县,2018,1
云南,普洱市,镇沅彝族哈尼族拉祜族自治县,2013,1
云南,曲靖市,会泽县,1942,1
云南,曲靖市,会泽县,2005,2
云南,曲靖市,会泽县,2006,1
云南,曲靖市,会泽县,2007,1
云南,曲靖市,会泽县,2013,1
云南,曲靖市,会泽县,2014,1
云南,曲靖市,会泽县,2016,1
云南,曲靖市,会泽县,2017,1
云南,曲靖市,会泽县,2019,1
云南,曲靖市,会泽县,2020,1
云南,曲靖市,宣威市,1937,1
云南,曲靖市,宣威市,1943,1
云南,曲靖市,宣威市,1990,1
云南,曲靖市,宣威市,1994,2
云南,曲靖市,宣威市,1995,1
云南,曲靖市,宣威市,1996,2
云南,曲靖市,宣威市,1997,2
云南,曲靖市,宣威市,1998,1
云南,曲靖市,宣威市,1999,3
云南,曲靖市,宣威市,2008,2
云南,曲靖市,宣威市,2010,1
云南,曲靖市,宣威市,2011,3
云南,曲靖市,宣威市,2012,1
云南,曲靖市,宣威市,2013,1
云南,曲靖市,宣威市,2014,1
云南,曲靖市,宣威市,2015,5
云南,曲靖市,宣威市,2016,1
云南,曲靖市,宣威市,2018,3
云南,曲靖市,宣威市,2020,2
云南,曲靖市,宣威市,2021,1
云南,曲靖市,宣威市,2022,2
云南,曲靖市,富源县,1987,2
云南,曲靖市,富源县,2001,1
云南,曲靖市,富源县,2007,1
云南,曲靖市,富源县,2008,1
云南,曲靖市,富源县,2010,1
云南,曲靖市,富源县,2011,1
云南,曲靖市,富源县,2012,1
云南,曲靖市,富源县,2013,1
云南,曲靖市,富源县,2018,1
云南,曲靖市,富源县,2021,1
云南,曲靖市,师宗县,1844,1
云南,曲靖市,师宗县,1853,1
云南,曲靖市,师宗县,1940,1
云南,曲靖市,师宗县,1993,1
云南,曲靖市,师宗县,1995,1
云南,曲靖市,师宗县,1999,1
云南,曲靖市,师宗县,2000,1
云南,曲靖市,师宗县,2002,1
云南,曲靖市,师宗县,2005,2
云南,曲靖市,师宗县,2010,1
云南,曲靖市,师宗县,2013,1
云南,曲靖市,师宗县,2014,2
云南,曲靖市,师宗县,2017,1
云南,曲靖市,沾益区,2004,3
云南,曲靖市,沾益区,2008,1
云南,曲靖市,沾益区,2011,1
云南,曲靖市,罗平县,1999,1
云南,曲靖市,罗平县,2008,1
云南,曲靖市,罗平县,2012,1
云南,曲靖市,陆良县,2003,1
云南,曲靖市,陆良县,2005,1
云南,曲靖市,陆良县,2009,1
云南,曲靖市,陆良县,2014,1
云南,曲靖市,陆良县,2016,1
云南,曲靖市,陆良县,2018,2
云南,曲靖市,陆良县,2020,1
云南,曲靖市,马龙区,2015,1
云南,曲靖市,马龙区,2017,1
云南,曲靖市,马龙区,2018,1
云南,曲靖市,麒麟区,2017,1
云南,楚雄彝族自治州,南华县,2011,1
云南,楚雄彝族自治州,南华县,2020,1
云南,楚雄彝族自治州,大姚县,2006,1
云南,楚雄彝族自治州,大姚县,2017,1
云南,楚雄彝族自治州,姚安县,2003,1
云南,楚雄彝族自治州,姚安县,2006,1
云南,楚雄彝族自治州,姚安县,2014,1
云南,楚雄彝族自治州,楚雄市,2016,1
云南,楚雄彝族自治州,武定县,1986,1
云南,楚雄彝族自治州,牟定县,2016,1
云南,楚雄彝族自治州,牟定县,2019,1
云南,玉溪市,华宁县,2004,1
云南,玉溪市,华宁县,2014,1
云南,玉溪市,峨山彝族自治县,2011,1
云南,玉溪市,新平彝族傣族自治县,1989,1
云南,玉溪市,新平彝族傣族自治县,2015,1
云南,玉溪市,新平彝族傣族自治县,2019,1
云南,玉溪市,易门县,2005,1
云南,玉溪市,易门县,2007,1
云南,玉溪市,澄江县,1995,1
云南,玉溪市,通海县,2003,1
云南,玉溪市,通海县,2012,2
云南,玉溪市,通海县,2013,1
云南,玉溪市,通海县,2015,1
云南,玉溪市,通海县,2018,1
云南,玉溪市,通海县,2019,2
云南,红河哈尼族彝族自治州,建水县,2003,1
云南,红河哈尼族彝族自治州,建水县,2004,1
云南,红河哈尼族彝族自治州,建水县,2005,1
云南,红河哈尼族彝族自治州,建水县,2014,2
云南,红河哈尼族彝族自治州,建水县,2016,1
云南,红河哈尼族彝族自治州,建水县,2020,1
云南,红河哈尼族彝族自治州,弥勒市,1995,1
云南,红河哈尼族彝族自治州,弥勒市,1996,1
云南,红河哈尼族彝族自治州,弥勒市,2009,2
云南,红河哈尼族彝族自治州,弥勒市,2013,2
云南,红河哈尼族彝族自治州,弥勒市,2016,1
云南,红河哈尼族彝族自治州,弥勒市,2017,1
云南,红河哈尼族彝族自治州,河口瑶族自治县,2011,1
云南,红河哈尼族彝族自治州,泸西县,2009,1
云南,红河哈尼族彝族自治州,泸西县,2014,1
云南,红河哈尼族彝族自治州,石屏县,2004,1
云南,红河哈尼族彝族自治州,石屏县,2009,1
云南,红河哈尼族彝族自治州,石屏县,2010,2
云南,红河哈尼族彝族自治州,石屏县,2011,1
云南,红河哈尼族彝族自治州,石屏县,2013,1
云南,红河哈尼族彝族自治州,石屏县,2017,2
云南,红河哈尼族彝族自治州,蒙自市,2005,1
云南,红河哈尼族彝族自治州,蒙自市,2019,1
云南,迪庆藏族自治州,维西傈僳族自治县,2013,1
云南,迪庆藏族自治州,香格里拉市,2015,1
内蒙古自治区,乌兰察布市,丰镇市,2005,1
内蒙古自治区,乌兰察布市,凉城县,2018,1
内蒙古自治区,包头市,土默特右旗,2015,1
内蒙古自治区,包头市,土默特右旗,2019,1
内蒙古自治区,包头市,土默特右旗,2022,1
内蒙古自治区,呼伦贝尔市,阿荣旗,2019,1
内蒙古自治区,呼和浩特市,土默特左旗,2020,1
内蒙古自治区,呼和浩特市,托克托县,2014,1
内蒙古自治区,呼和浩特市,托克托县,2016,1
内蒙古自治区,呼和浩特市,托克托县,2017,1
内蒙古自治区,呼和浩特市,托克托县,2018,1
内蒙古自治区,呼和浩特市,武川县,2022,1
内蒙古自治区,呼和浩特市,清水河县,2017,1
内蒙古自治区,呼和浩特市,清水河县,2021,1
内蒙古自治区,呼和浩特市,玉泉区,2011,1
内蒙古自治区,巴彦淖尔市,五原县,2017,1
内蒙古自治区,赤峰市,元宝山区,2020,1
内蒙古自治区,赤峰市,克什克腾旗,1999,1
内蒙古自治区,赤峰市,克什克腾旗,2014,1
内蒙古自治区,赤峰市,克什克腾旗,2016,1
内蒙古自治区,赤峰市,克什克腾旗,2017,1
内蒙古自治区,赤峰市,克什克腾旗,2018,1
内蒙古自治区,赤峰市,宁城县,2014,1
内蒙古自治区,赤峰市,宁城县,2017,1
内蒙古自治区,赤峰市,敖汉旗,2005,1
内蒙古自治区,赤峰市,敖汉旗,2014,1
内蒙古自治区,赤峰市,敖汉旗,2017,1
内蒙古自治区,赤峰市,翁牛特旗,2000,1
内蒙古自治区,赤峰市,翁牛特旗,2006,1
内蒙古自治区,赤峰市,翁牛特旗,2008,1
内蒙古自治区,赤峰市,翁牛特旗,2020,1
内蒙古自治区,赤峰市,翁牛特旗,2022,1
内蒙古自治区,通辽市,奈曼旗,2016,2
内蒙古自治区,鄂尔多斯市,伊金霍洛旗,2017,1
内蒙古自治区,鄂尔多斯市,准格尔旗,2019,1
内蒙古自治区,鄂尔多斯市,杭锦旗,2019,1
内蒙古自治区,鄂尔多斯市,达拉特旗,2011,1
北京,市,丰台区,1784,1
北京,市,丰台区,1795,1
北京,市,丰台区,1941,1
北京,市,大兴区,1795,1
北京,市,大兴区,1821,1
北京,市,大兴区,1863,1
北京,市,大兴区,1892,1
北京,市,大兴区,1919,1
北京,市,延庆县,1885,1
北京,市,怀柔区,1909,1
北京,市,房山区,2003,1
北京,市,昌平区,1911,1
北京,市,通州区,1797,1
北京,市,通州区,1948,1
北京市,北京市,东城区,2002,1
北京市,北京市,丰台区,2013,1
北京市,北京市,大兴区,2007,1
北京市,北京市,大兴区,2016,1
北京市,北京市,平谷区,2006,1
北京市,北京市,怀柔区,2017,2
北京市,北京市,昌平区,2018,1
北京市,北京市,昌平区,2019,1
北京市,北京市,朝阳区,2017,1
北京市,北京市,通州区,1963,1
台湾,云林县,仑背乡,1985,1
台湾,云林县,北港镇,1985,2
台湾,云林县,北港镇,1987,1
台湾,云林县,口湖乡,1985,1
台湾,云林县,台西乡,1985,1
台湾,云林县,台西乡,1994,1
台湾,云林县,土库镇,1985,3
台湾,云林县,斗六市,1985,1
台湾,云林县,斗南镇,1985,1
台湾,云林县,虎尾镇,2004,1
台湾,云林县,西螺镇,1992,1
台湾,南投县,竹山镇,2014,1
台湾,南投县,草屯镇,1995,1
台湾,台东县,台东市,1985,1
台湾,台东县,池上乡,1985,2
台湾,台中市,东势区,1986,1
台湾,台中市,丰原区,2008,1
台湾,台中市,丰原区,2010,1
台湾,台中市,后里区,1984,1
台湾,台中市,大安区,1982,2
台湾,台中市,大安区,1983,1
台湾,台中市,大安区,1995,1
台湾,台中市,大甲区,1972,1
台湾,台中市,大甲区,1989,1
台湾,台中市,大甲区,1997,1
台湾,台中市,大甲区,2011,1
台湾,台中市,大肚区,1994,1
台湾,台中市,大里区,2009,1
台湾,台中市,梧栖区,1965,1
台湾,台中市,梧栖区,1999,1
台湾,台中市,梧栖区,2001,1
台湾,台中市,梧栖区,2012,1
台湾,台中市,沙鹿区,2009,1
台湾,台中市,沙鹿区,2012,1
台湾,台中市,沙鹿区,2018,1
台湾,台中市,清水区,1982,2
台湾,台中市,清水区,2008,1
台湾,台中市,清水区,2009,1
台湾,台中市,清水区,2011,1
台湾,台中市,清水区,2015,2
台湾,台中市,清水区,2017,1
台湾,台中市,石冈区,1993,1
台湾,台中市,神冈区,1952,1
台湾,台中市,神冈区,1978,1
台湾,台中市,神冈区,1981,1
台湾,台中市,神冈区,1982,1
台湾,台中市,神冈区,1991,1
台湾,台中市,神冈区,2002,1
台湾,台中市,西屯区,1980,1
台湾,台北市,中山区,2012,1
台湾,台北市,内湖区,1998,1
台湾,台北市,内湖区,2000,1
台湾,台北市,北投区,1985,3
台湾,台北市,北投区,1991,1
台湾,台北市,北投区,2004,1
台湾,台北市,士林区,1986,2
台湾,台北市,文山区,1992,1
台湾,台北市,文山区,2005,1
台湾,台北市,松山区,1975,1
台湾,台南市,七股区,1985,1
台湾,台南市,下营区,1994,1
台湾,台南市,东区,1985,1
台湾,台南市,东山区,2008,1
台湾,台南市,中西区,2008,1
台湾,台南市,仁德区,1995,1
台湾,台南市,佳里区,1980,1
台湾,台南市,佳里区,1992,2
台湾,台南市,北区,2012,1
台湾,台南市,北门区,1991,1
台湾,台南市,南化区,1985,1
台湾,台南市,善化区,1986,1
台湾,台南市,大内区,1985,1
台湾,台南市,学甲区,1985,1
台湾,台南市,学甲区,1999,1
台湾,台南市,安定区,1979,1
台湾,台南市,安定区,2016,1
台湾,台南市,安平区,1999,1
台湾,台南市,官田区,2007,1
台湾,台南市,左镇区,2002,1
台湾,台南市,永康区,1987,1
台湾,台南市,白河区,1985,2
台湾,台南市,盐水区,1985,1
台湾,台南市,西港区,1997,1
台湾,台南市,西港区,2001,1
台湾,台南市,西港区,2005,1
台湾,台南市,麻豆区,2017,1
台湾,嘉义县,六脚乡,1986,1
台湾,嘉义县,太保市,1985,1
台湾,嘉义县,新港乡,1985,1
